postgres-1  | 2026-09-06 14:57:44.623 UTC [3217] LOG:  process 3217 still waiting for ShareLock on transaction 3529 after 1004.878 ms
postgres-1  | 2026-09-06 14:57:44.623 UTC [3205] LOG:  process 3205 detected deadlock while waiting for ShareLock on transaction 3530 after 1004.885 ms
postgres-1  | 2026-09-06 14:57:44.623 UTC [3205] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:57:44.623 UTC [3217] LOG:  process 3217 acquired ShareLock on transaction 3529 after 1005.480 ms
postgres-1  | 2026-09-06 14:57:44.677 UTC [3211] LOG:  process 3211 detected deadlock while waiting for ExclusiveLock on tuple (3,99) of relation 16385 of database 16384 after 1004.423 ms
postgres-1  | 2026-09-06 14:57:44.677 UTC [3211] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:57:44.702 UTC [3207] LOG:  process 3207 detected deadlock while waiting for ExclusiveLock on tuple (3,99) of relation 16385 of database 16384 after 1004.705 ms
postgres-1  | 2026-09-06 14:57:44.702 UTC [3207] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:57:44.717 UTC [3208] LOG:  process 3208 detected deadlock while waiting for ExclusiveLock on tuple (3,99) of relation 16385 of database 16384 after 1000.486 ms
postgres-1  | 2026-09-06 14:57:44.717 UTC [3208] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:57:44.731 UTC [3185] LOG:  process 3185 detected deadlock while waiting for ExclusiveLock on tuple (3,99) of relation 16385 of database 16384 after 1003.287 ms
postgres-1  | 2026-09-06 14:57:44.731 UTC [3185] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:57:44.808 UTC [3214] LOG:  process 3214 still waiting for ExclusiveLock on tuple (4,89) of relation 16385 of database 16384 after 1001.032 ms
postgres-1  | 2026-09-06 14:57:44.808 UTC [3223] LOG:  process 3223 detected deadlock while waiting for ExclusiveLock on tuple (3,99) of relation 16385 of database 16384 after 1001.084 ms
postgres-1  | 2026-09-06 14:57:44.808 UTC [3223] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:57:44.853 UTC [3220] LOG:  process 3220 detected deadlock while waiting for ExclusiveLock on tuple (3,99) of relation 16385 of database 16384 after 1009.873 ms
postgres-1  | 2026-09-06 14:57:44.853 UTC [3220] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:57:44.893 UTC [3206] LOG:  process 3206 still waiting for ExclusiveLock on tuple (4,89) of relation 16385 of database 16384 after 1000.686 ms
postgres-1  | 2026-09-06 14:57:44.899 UTC [3186] LOG:  process 3186 still waiting for ExclusiveLock on tuple (4,89) of relation 16385 of database 16384 after 1000.585 ms
postgres-1  | 2026-09-06 14:57:45.625 UTC [3212] LOG:  process 3212 still waiting for ShareLock on transaction 3530 after 1001.135 ms
postgres-1  | 2026-09-06 14:57:45.625 UTC [3219] LOG:  process 3219 detected deadlock while waiting for ShareLock on transaction 3530 after 1001.355 ms
postgres-1  | 2026-09-06 14:57:45.625 UTC [3219] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:57:45.683 UTC [3215] LOG:  process 3215 still waiting for ShareLock on transaction 3544 after 1002.150 ms
postgres-1  | 2026-09-06 14:57:45.683 UTC [3218] LOG:  process 3218 still waiting for ShareLock on transaction 3544 after 1001.960 ms
postgres-1  | 2026-09-06 14:57:45.683 UTC [3209] LOG:  process 3209 still waiting for ShareLock on transaction 3544 after 1002.028 ms
postgres-1  | 2026-09-06 14:57:45.683 UTC [3213] LOG:  process 3213 still waiting for ExclusiveLock on tuple (4,92) of relation 16385 of database 16384 after 1001.864 ms
postgres-1  | 2026-09-06 14:57:45.685 UTC [3224] LOG:  process 3224 detected deadlock while waiting for ShareLock on transaction 3554 after 1001.232 ms
postgres-1  | 2026-09-06 14:57:45.685 UTC [3217] LOG:  process 3217 still waiting for ShareLock on transaction 3542 after 1001.189 ms
postgres-1  | 2026-09-06 14:57:45.685 UTC [3224] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:57:45.686 UTC [3215] LOG:  process 3215 acquired ShareLock on transaction 3544 after 1004.435 ms
postgres-1  | 2026-09-06 14:57:45.686 UTC [3209] LOG:  process 3209 acquired ShareLock on transaction 3544 after 1004.265 ms
postgres-1  | 2026-09-06 14:57:45.686 UTC [3218] LOG:  process 3218 acquired ShareLock on transaction 3544 after 1004.301 ms
postgres-1  | 2026-09-06 14:57:45.704 UTC [3222] LOG:  process 3222 still waiting for ShareLock on transaction 3542 after 1001.267 ms
postgres-1  | 2026-09-06 14:57:45.705 UTC [3188] LOG:  process 3188 detected deadlock while waiting for ExclusiveLock on tuple (1,44) of relation 16385 of database 16384 after 1001.713 ms
postgres-1  | 2026-09-06 14:57:45.705 UTC [3216] LOG:  process 3216 still waiting for ShareLock on transaction 3545 after 1002.147 ms
postgres-1  | 2026-09-06 14:57:45.705 UTC [3188] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:57:45.809 UTC [3205] LOG:  process 3205 still waiting for ExclusiveLock on tuple (4,89) of relation 16385 of database 16384 after 1001.263 ms
postgres-1  | 2026-09-06 14:57:45.825 UTC [3210] LOG:  process 3210 still waiting for ExclusiveLock on tuple (1,44) of relation 16385 of database 16384 after 1005.347 ms
postgres-1  | 2026-09-06 14:57:45.928 UTC [3207] LOG:  process 3207 still waiting for ShareLock on transaction 3546 after 1001.937 ms
postgres-1  | 2026-09-06 14:57:45.950 UTC [3211] LOG:  process 3211 still waiting for ExclusiveLock on tuple (3,99) of relation 16385 of database 16384 after 1006.197 ms
postgres-1  | 2026-09-06 14:57:46.015 UTC [3185] LOG:  process 3185 still waiting for ExclusiveLock on tuple (3,99) of relation 16385 of database 16384 after 1004.552 ms
postgres-1  | 2026-09-06 14:57:46.047 UTC [3220] LOG:  process 3220 still waiting for ExclusiveLock on tuple (3,99) of relation 16385 of database 16384 after 1001.261 ms
postgres-1  | 2026-09-06 14:57:46.169 UTC [3223] LOG:  process 3223 still waiting for ExclusiveLock on tuple (3,99) of relation 16385 of database 16384 after 1003.431 ms
postgres-1  | 2026-09-06 14:57:46.628 UTC [3187] LOG:  process 3187 still waiting for ShareLock on transaction 3530 after 1002.286 ms
postgres-1  | 2026-09-06 14:57:46.686 UTC [3209] LOG:  process 3209 still waiting for ShareLock on transaction 3547 after 1000.473 ms
postgres-1  | 2026-09-06 14:57:46.686 UTC [3218] LOG:  process 3218 still waiting for ShareLock on transaction 3547 after 1000.683 ms
postgres-1  | 2026-09-06 14:57:46.687 UTC [3215] LOG:  process 3215 detected deadlock while waiting for ExclusiveLock on tuple (5,103) of relation 16385 of database 16384 after 1000.947 ms
postgres-1  | 2026-09-06 14:57:46.687 UTC [3184] LOG:  process 3184 still waiting for ShareLock on transaction 3547 after 1001.521 ms
postgres-1  | 2026-09-06 14:57:46.687 UTC [3215] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:57:46.688 UTC [3184] LOG:  process 3184 acquired ShareLock on transaction 3547 after 1001.844 ms
postgres-1  | 2026-09-06 14:57:46.688 UTC [3218] LOG:  process 3218 acquired ShareLock on transaction 3547 after 1001.817 ms
postgres-1  | 2026-09-06 14:57:46.688 UTC [3209] LOG:  process 3209 acquired ShareLock on transaction 3547 after 1001.818 ms
postgres-1  | 2026-09-06 14:57:46.707 UTC [3221] LOG:  process 3221 still waiting for ExclusiveLock on tuple (4,92) of relation 16385 of database 16384 after 1001.513 ms
postgres-1  | 2026-09-06 14:57:46.715 UTC [3208] LOG:  process 3208 still waiting for ShareLock on transaction 3558 after 1009.906 ms
postgres-1  | 2026-09-06 14:57:46.905 UTC [3188] LOG:  process 3188 still waiting for ExclusiveLock on tuple (1,44) of relation 16385 of database 16384 after 1010.894 ms
postgres-1  | 2026-09-06 14:57:46.928 UTC [3219] LOG:  process 3219 still waiting for ExclusiveLock on tuple (3,99) of relation 16385 of database 16384 after 1003.120 ms
postgres-1  | 2026-09-06 14:57:46.988 UTC [3224] LOG:  process 3224 still waiting for ExclusiveLock on tuple (5,103) of relation 16385 of database 16384 after 1002.792 ms
postgres-1  | 2026-09-06 14:57:47.691 UTC [3209] LOG:  process 3209 still waiting for ExclusiveLock on tuple (1,44) of relation 16385 of database 16384 after 1003.335 ms
postgres-1  | 2026-09-06 14:57:47.691 UTC [3218] LOG:  process 3218 detected deadlock while waiting for ShareLock on transaction 3554 after 1002.908 ms
postgres-1  | 2026-09-06 14:57:47.692 UTC [3218] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:57:47.692 UTC [3210] LOG:  process 3210 acquired ExclusiveLock on tuple (1,44) of relation 16385 of database 16384 after 2872.260 ms
postgres-1  | 2026-09-06 14:57:48.035 UTC [3215] LOG:  process 3215 still waiting for ExclusiveLock on tuple (1,44) of relation 16385 of database 16384 after 1010.843 ms
postgres-1  | 2026-09-06 14:57:48.693 UTC [3184] LOG:  process 3184 detected deadlock while waiting for ExclusiveLock on tuple (3,99) of relation 16385 of database 16384 after 1000.564 ms
postgres-1  | 2026-09-06 14:57:48.694 UTC [3184] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:57:48.694 UTC [3217] LOG:  process 3217 acquired ShareLock on transaction 3542 after 4009.673 ms
postgres-1  | 2026-09-06 14:57:48.694 UTC [3222] LOG:  process 3222 acquired ShareLock on transaction 3542 after 3991.007 ms
postgres-1  | 2026-09-06 14:57:48.694 UTC [3188] LOG:  process 3188 acquired ExclusiveLock on tuple (1,44) of relation 16385 of database 16384 after 2800.380 ms
postgres-1  | 2026-09-06 14:57:48.699 UTC [3212] LOG:  process 3212 acquired ShareLock on transaction 3530 after 4075.192 ms
postgres-1  | 2026-09-06 14:57:48.699 UTC [3187] LOG:  process 3187 acquired ShareLock on transaction 3530 after 3073.498 ms
postgres-1  | 2026-09-06 14:57:48.699 UTC [3214] LOG:  process 3214 acquired ExclusiveLock on tuple (4,89) of relation 16385 of database 16384 after 4892.042 ms
postgres-1  | 2026-09-06 14:57:48.699 UTC [3211] LOG:  process 3211 acquired ExclusiveLock on tuple (3,99) of relation 16385 of database 16384 after 3755.137 ms
postgres-1  | 2026-09-06 14:57:48.699 UTC [3185] LOG:  process 3185 acquired ExclusiveLock on tuple (3,99) of relation 16385 of database 16384 after 3688.494 ms
